GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,x_final,y_final,z_final,lat,lon,alt
2024-04-13 16:52:19.418698240+00:00,G02,14591866.966557112,-5125610.266319888,22056116.95658494,22792039.017682195,47.2,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G03,23173479.482240584,-12102446.045672685,4147832.625594413,24131358.534740735,44.3,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G08,24944545.530409124,4723196.893046651,8404084.294735465,21178412.136658646,50.7,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G10,-1422253.478673378,17205202.58820848,20295954.526775006,22802966.663672205,36.2,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G21,15717806.50748737,1649481.8821763806,21896290.070443552,21732699.375334933,44.1,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G27,23134798.299755145,13296734.952176219,-2727530.9775311192,22161735.16137114,43.2,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G28,5190524.141343625,25780713.095625866,-3750984.7821385763,23800201.24902511,38.1,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G32,8004524.969909515,17928069.811361097,18190163.98179976,21271716.472752698,42.2,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G03,23173479.482240584,-12102446.045672685,4147832.625594413,24131358.534740735,34.3,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G08,24944545.530409124,4723196.893046651,8404084.294735465,21178412.136658646,37.0,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G27,23134798.299755145,13296734.952176219,-2727530.9775311192,22161735.16137114,35.1,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:19.418698240+00:00,G32,8004524.969909515,17928069.811361097,18190163.98179976,21271716.472752698,25.4,4436886.270878179,3085286.255335122,3376325.957766705,32.16885602612585,34.81366804575346,-0.8018148435900608
2024-04-13 16:52:20.418698240+00:00,G02,14592304.580027768,-5122959.862970568,22056477.773290534,22791560.25545099,47.6,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G03,23173144.851224016,-12101962.982488178,4151008.9555503884,24130882.15016987,44.8,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G08,24945418.424417596,4723865.152570108,8401196.8474223,21178611.80900284,51.8,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G10,-1424413.5119917523,17206531.817258596,20294631.996999994,22803346.797920316,38.0,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G21,15718230.65578289,1652110.6281089815,21895876.27374978,21732380.07077358,44.9,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G27,23134418.74395557,13296813.731150793,-2730657.68200507,22162302.362566903,43.4,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G28,5190297.342903983,25781212.273909174,-3747855.105153496,23799715.255928084,38.3,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G32,8002427.067206242,17927217.899219863,18191927.459506016,21271987.78860179,43.1,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G03,23173144.851224016,-12101962.982488178,4151008.9555503884,24130882.15016987,33.2,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G08,24945418.424417596,4723865.152570108,8401196.8474223,21178611.80900284,37.6,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G27,23134418.74395557,13296813.731150793,-2730657.68200507,22162302.362566903,35.7,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
2024-04-13 16:52:20.418698240+00:00,G28,5190297.342903983,25781212.273909174,-3747855.105153496,23799715.255928084,23.1,4436899.759016735,3085293.400642488,3376335.3667230853,32.16885509436778,34.81364860022477,1.0171308099077299
