GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,x_final,y_final,z_final,lat,lon,alt
2024-04-13 16:53:51.426041600+00:00,G10,25023639.6240527,4783845.8041696865,8137692.350133545,21196005.876491368,48.3,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:51.426041600+00:00,G21,-1620081.7744787037,17327678.89277763,20172485.06377191,22839528.10111702,45.7,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:51.426041600+00:00,G27,15757452.408317765,1890975.9571634931,21856363.72227612,21704707.75126088,37.9,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:51.426041600+00:00,G32,23098436.983025927,13303367.387089957,-3014966.440680798,22215117.68794983,48.5,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:51.426041600+00:00,G08,7810468.746056123,17849813.844240233,18350828.84000951,21298089.881690666,27.7,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:51.426041600+00:00,G10,25023639.6240527,4783845.8041696865,8137692.350133545,21196005.876491368,35.5,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:51.426041600+00:00,G27,15757452.408317765,1890975.9571634931,21856363.72227612,21704707.75126088,27.9,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:51.426041600+00:00,G32,23098436.983025927,13303367.387089957,-3014966.440680798,22215117.68794983,24.6,4439754.733363727,3086468.8052758076,3377749.915666415,32.16517883185685,34.80660308654687,3379.8667554222047
2024-04-13 16:53:52.426041600+00:00,G08,25024485.673475336,4784495.73568894,8134789.066819822,21198559.199303802,24.4,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G10,-1622221.7386181047,17329011.9448335,20171123.300062597,22839914.83154743,50.6,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G21,15757890.182902262,1893596.489021039,21855909.19883369,21704400.173245847,42.1,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G27,23098025.775149066,13303432.704174265,-3018087.6846097396,22215691.520228334,38.4,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G32,5169380.722935404,25825521.78461427,-3459569.3951893607,23754428.557289694,49.7,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G08,25024485.673475336,4784495.73568894,8134789.066819822,21198559.199303802,30.9,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G10,-1622221.7386181047,17329011.9448335,20171123.300062597,22839914.83154743,40.0,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G27,23098025.775149066,13303432.704174265,-3018087.6846097396,22215691.520228334,29.5,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:52.426041600+00:00,G28,7808348.177779548,17848964.775606938,18352557.366964802,21298366.886310734,22.6,4435298.544790685,3084439.2791473707,3374639.7626363556,32.16456313502464,34.8159065768354,-2353.786862797104
2024-04-13 16:53:53.426041600+00:00,G02,14633733.886359746,-4876403.146818345,22088069.517008904,22748496.823699094,36.4,4440235.3588605765,3086756.010891522,3378298.364652345,32.16668302423659,34.80619490722857,4144.683834306896
2024-04-13 16:53:53.426041600+00:00,G10,25025331.442510433,4785145.479727181,8131885.568654007,21196433.106627703,49.4,4440235.3588605765,3086756.010891522,3378298.364652345,32.16668302423659,34.80619490722857,4144.683834306896
2024-04-13 16:53:53.426041600+00:00,G21,-1624361.482773332,17330345.035913814,20169761.111179907,22840302.155285254,44.0,4440235.3588605765,3086756.010891522,3378298.364652345,32.16668302423659,34.80619490722857,4144.683834306896
2024-04-13 16:53:53.426041600+00:00,G27,15758328.104805518,1896216.9288764256,21855454.233308345,21704083.311714977,38.3,4440235.3588605765,3086756.010891522,3378298.364652345,32.16668302423659,34.80619490722857,4144.683834306896
2024-04-13 16:53:53.426041600+00:00,G32,23097614.222629804,13303497.87727221,-3021208.866181496,22216267.09752861,49.5,4440235.3588605765,3086756.010891522,3378298.364652345,32.16668302423659,34.80619490722857,4144.683834306896
2024-04-13 16:53:53.426041600+00:00,G08,7806227.364952,17848115.740182087,18354285.51232206,21298652.267035324,28.7,4440235.3588605765,3086756.010891522,3378298.364652345,32.16668302423659,34.80619490722857,4144.683834306896
2024-04-13 16:53:53.426041600+00:00,G10,25025331.442510433,4785145.479727181,8131885.568654007,21196433.106627703,39.9,4440235.3588605765,3086756.010891522,3378298.364652345,32.16668302423659,34.80619490722857,4144.683834306896
