GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,x_final,y_final,z_final,lat,lon,alt
2024-05-05 18:19:37.437908224+00:00,G02,22654959.195840515,13751879.596896894,3836401.704269099,21109516.525656886,34.4,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G03,13162571.94273254,7442494.24284024,21698441.344582997,20762848.6053383,37.9,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G04,22673927.518339198,3209185.2926804395,13588260.129961006,20902728.928996943,36.7,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G09,25415276.911452804,-7502391.6073783,2108013.171113336,23529882.01934163,36.3,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G17,20432273.80445643,-13299820.170491345,11148858.64243615,24184559.340590935,32.4,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G19,12545522.285587072,-15069631.898651699,17548829.09244212,24425502.94052036,34.8,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G21,21167419.790240955,16856768.26807177,-1322407.422014902,22163986.147333812,37.7,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G26,-3990703.23582772,26032584.747030526,938000.421787014,24563643.8447919,34.0,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G28,-5818709.228943117,14601109.88181852,21397741.614769526,23726797.83398419,41.4,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:37.437908224+00:00,G31,3917006.4170182925,19885637.956306875,16743136.920487147,21478777.95046875,41.1,4442022.112996709,3089855.9271789114,3365342.671278507,32.05224192836732,34.82234724506219,-5.759740976989269
2024-05-05 18:19:38.437908224+00:00,G02,22655159.80366412,13752317.231282536,3833278.5918430216,21109839.701337732,31.8,4442019.252376385,3089856.653071221,3365346.906136849,32.052283552403416,34.8223708518732,-6.517701636254787
2024-05-05 18:19:38.437908224+00:00,G03,13161965.380280325,7445210.496375038,21697893.326757845,20762673.82995594,38.9,4442019.252376385,3089856.653071221,3365346.906136849,32.052283552403416,34.8223708518732,-6.517701636254787
2024-05-05 18:19:38.437908224+00:00,G04,22672336.154738545,3209860.0920280656,13590745.986391567,20902559.249998383,35.0,4442019.252376385,3089856.653071221,3365346.906136849,32.052283552403416,34.8223708518732,-6.517701636254787
2024-05-05 18:19:38.437908224+00:00,G09,25415112.137154195,-7502029.037681228,2111163.765485355,23529404.45469979,35.6,4442019.252376385,3089856.653071221,3365346.906136849,32.052283552403416,34.8223708518732,-6.517701636254787
2024-05-05 18:19:38.437908224+00:00,G17,20433625.848069843,-13299970.857510082,11146111.64860179,24184669.965530563,32.5,4442019.252376385,3089856.653071221,3365346.906136849,32.052283552403416,34.8223708518732,-6.517701636254787
